,Title,Poem,Poet,Tags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"
                    How It Worked
                ","
It was hard to sit there with my father,
watching one of my sister's girls playing
a set of tennis against my son or daughter
because he'd forget himself and with a groan
of disappointment or a grunt
of sympathetic exertion make it clear
that he was rooting for my sister's child
and against mine. There was no use
calling him on it, because he'd deny it
and get angry. So I would get angry
but try not to show it, until I couldn't
stand it any longer and would get up
and walk away. That was how it worked
between us, the unspoken building up
like thunderheads above the tennis court,
where the kids played on, not caring who won
and hardly noticing the sky had darkened.
 
",Jeffrey Harrison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"
                    In Memory of My Heavy Metal Years
                ","
There goes the
aluminum, the antimony, the arsenic
the barium, the cadmium, 
the cesium, the gadolinium
the lead
the mercury
the nickel, the thalium, and 
the tin. 
There goes that job spraying lawns
with chemicals, driving the Merc
three-quarter ton 
with a tank on the back
and no brakes
through West Vancouver, bouncing
the wheels against the curb
to stop
and on the steep
majesterial streets
that afford such views
that they could hire
two talentless dickbrains
to weed and feed
front and back
and back again 
in two weeks. 
That was a heavy metal job
that probably killed
a lot of salmon too. 
There goes the shotgun
pellets from the pheasants
we shot out in Abbotsford and Langley
plucked and hung
in the concrete basement
in New Westminster
fresh
with the stink of pheasant guts.
Oily, delicious pheasants
roasted always
with a little buckshot
after a day off. 
There goes those summers painting
houses with my brother
wire-brushing off
the old paint, breathing
it in on the wooden ladders
white guys working
on a tan
and saving up for the Peugot
ten speed. There goes
the seventies
out from my body.
Led Zep Humble Pie Burning Spear, and
Marley too, adidas, big E Levis 
from Lee's Men's Wear on Sixth Street
there goes that brown house
paint, broken down 
and pissed out. 
There goes those years
beachcombing along the Fraser
from New West to Lulu Island
pulling out cedar blocks
that had floated free
from the shake factory booms. 
Pulling the blocks out
of that industrial muck
grey green and foamy 
down near Scott Paper, the mill
that Larry worked in until
it moved
production south. 
Then stacking and drying the blocks
to split them into shakes
with a birchwood
hammer and an adze. There goes
that industrial mix
from the Fraser 
from the riverbank
from the bars by the river.
There goes sucking on
a hose to get some gas into that
golden sixty-six Valiant convertible
with the leaky roof and
the 273 and putting it
right into the carb to sputter
the piece of shit to life
Again. Still, pretty great 
to have a convertible with a radio
(turn the radio on 
roadrunner roadrunner!)
and a five-gallon gas can
and a piece of garden hose
and a mouthful of
Regular, a mouthful of
Regular Leaded
from the Chevron
in the strip mall across Tenth Ave.
There goes working
on a printing press
under the sidewalk
of the storefront at Cambie and Hastings
that was later the Caribbean place
and is now
going to be gentrified.
There goes that time. 
There goes all the shitty renos
on Broadway, on Hastings, on Commercial Drive,
there goes the dust
from that wall Mike took
down with a chain saw
when Talonbooks was above the foundry
and there goes the foundry dust
and the sweep of chemicals
that would take your head off
like six beers later at the Waldorf. 
There goes the mystery
unmarked jars of cleaners and solvents and grease
that Larry nicked from the mill
and we used on the cars and bikes
and on our hands. 
There goes that job at the self-serve
Shell with a car wash across from the college
when it was in temporary trailers
just to show that education
for the masses
was taken seriously.
And there goes, hopefully, the dust
and everything from that week 
in September
when what was stored in the three
buildings of the World
Trade Centre was pulverized
and burnt Into the air
and Nancy and I stayed in the apartment
with t-shirts tied 
over our mouth and nose
and didn't go out until
we went to Milano's
where the Fireman drank for free
with the IRA guys
leaning at the bar. There goes
that time. 
There goes the
Aluminum, the antimony, the arsenic
the barium, the cadmium, 
the cesium, the gadolinium
the lead
the mercury
the nickel, the thalium, and 
the tin. Broken down
pissed out. 
There goes those jobs, those times
there goes those relations
of inside and outside, of work
and nerves and fat and soft tissue
and synapses. 
There goes that set of relationsinside and outside. There goes that body
that use and surplus",Jeff Derksen,"Living,Coming of Age,The Body",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"
                    The Wall
                ","
Someone has opened a giant map
and with the tips of our fingers,
each of us suddenly blind,
we track the black cold of this monument
for names we know
like finding a route home.
 
Lost here
this damp spring morning,
the cherries exploding like the fourth of July,
we wonder how many maps of Viet Nam
sold those years,
so many strange sounding places.
 
One of us holds a magnifying glass
to McCarroll, McMorris, McNabb,
small print in the polished stone,
the way a neighbor, say, in Neoga, Illinois
might have done, late at night
searching that faraway land on his kitchen table,
 
hearing again the morning paper
thump against the front door,
that boy on his bike in the dark
grown and gone—what was his name,that kid from down the block?—
Khe Sanh, Da Nang, Hanoi.
 
--for PFC William ""Willie"" Searle
 
",Bruce Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"
                    Strict Diet
                ","
Though the doctors said no salt,
salt was all my father craved.
His body bloated, skin water-logged
and gray, still he wanted potato chips,
honey-baked ham, greasy slabs
of Polish sausage from Piekutowski's.
He begged for pepperoni pizza,
garlic butter, ribs slathered in sauce.
But when I did the shopping,
I searched only for labels that saidlow sodium and no preservatives, instead
bringing home heads of broccoli,
turkey burgers, shredded wheat.
And when he died anyway,
guilt gnawed me like an ulcer—
how could I have denied him
his few final pleasures?—
until I found Big Mac wrappers
stuffed under the car seat,
jars of pickles in the hall closet,
and hidden among wads of tissues
near the night stand, his stash—
a half-used canister of salt.
I sat down on his sagging mattress
now stripped of stained sheets
and studied that blue label
with the girl in the yellow dress
holding her umbrella against a rain
of salt still falling from the sky.
 
",James Crews,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"
                    First Fall
                ","
I’m your guide here. In the evening-dark
morning streets, I point and name.
Look, the sycamores, their mottled,
paint-by-number bark. Look, the leaves
rusting and crisping at the edges.
I walk through Schiller Park with you
on my chest. Stars smolder well
into daylight. Look, the pond, the ducks,
the dogs paddling after their prized sticks.
Fall is when the only things you know
because I’ve named them
begin to end. Soon I’ll have another
season to offer you: frost soft
on the window and a porthole
sighed there, ice sleeving the bare
gray branches. The first time you see
something die, you won’t know it might
come back. I’m desperate for you
to love the world because I brought you here.
 
",Maggie Smith,"Living,Parenthood,Relationships,Family & Ancestors,Nature,Fall",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"
                    You Could Never Take A Car to Greenland,
                ","
my daughter says. Unless the car could float.
Unless by car you mean boat. Unless the ocean
turned to ice and promised not to crack.
Unless Greenland floated over here,
having lifted its anchor. Unless we could row
our country there. Our whole continent
would have to come along, wouldn't it? Unless
we cut ourselves free. What kind of saw
could we use for that? What kind of oars
could deliver one country to another?
She asks, Why is Greenland called Greenland
if it’s not green? Why is Iceland called
Iceland if it’s greener than Greenland?
Unless it’s a trick, a lie: the name Greenland
is an ad for Greenland. Who would go
promised nothing but ice? Who would cut
her home to pieces and row away for that?
",Maggie Smith,"Living,Youth,Relationships,Family & Ancestors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"
                    Parachute
                ","
Because a lie is not a lie if the teller
believes it, the way beautiful things
 
reassure us of the world’s wholeness,
of our wholeness, is not quite a lie.
 
Beautiful things believe their own
narrative, the narrative that makes them
 
beautiful. I almost believed it
until the new mother strapped
 
her infant to her chest, opened
the eighth-floor window,
 
and jumped. My daughter tells me,
after her preschool field trip
 
to the Firefighter Museum,
about the elephant mask, its hose
 
like a trunk, and the video of a man
on fire being smothered in blankets.
 
She asks me if she knows anyone
who got dead in a fire, anyone who
 got fired. When will I die? she asks.
When I was a child, I churched
 
my hands, I steepled my hands,
and all the people were inside,
 
each finger a man, a woman,
a child. When I die, will you
 still love me? she asks. The mother
cracked on the pavement—
 
how did the baby live? Look,
he smiles and totters around
 
the apartment eight stories up.
Beautiful things reassure us
 
of the world’s wholeness:
each child sliding down the pole
 
into the fire captain’s arms.
But what’s whole doesn’t sell
 
itself as such: buy this whole apple,
this whole car. Live this whole life.
 
A lie is not a lie if the teller
believes it? Next time the man
 
in the video will not ignite.
The baby will open like a parachute.
 
",Maggie Smith,"Living,Death,Parenthood,Relationships,Family & Ancestors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"
                    What I Carried
                ","
I carried my fear of the world
to my children, but they refused it.
 
I carried my fear of the world
on my chest, where I once carried
my children, where some nights it slept
as newborns sleep, where it purred
but mostly growled, where it licked
sweat from my clavicles.
 
I carried my fear of the world
and apprenticed myself to the fear.
 
I carried my fear of the world
and it became my teacher.
I carried it, and it repaid me
by teaching me how to carry it.
 
I carried my fear of the world
the way an animal carries a kill in its jaws
but in reverse: I was the kill, the gift.
Whose feet would I be left at?
 
I carried my fear of the world
as if it could protect me from the world.
 
I carried my fear of the world
and for my children modeled marveling
at its beauty but keeping my hands still—
keeping my eyes on its mouth, its teeth.
 
I carried my fear of the world.
I stroked it or I did not dare to stroke it.
 
I carried my fear of the world
and it became my teacher.
It taught me how to keep quiet and still
 
I carried my fear of the world
and my love for the world.
I carried my terrible awe.
 
I carried my fear of the world
without knowing how to set it down.
 
I carried my fear of the world
and let it nuzzle close to me,
and when it nipped, when it bit
down hard to taste me, part of me
shined: I had been right.
 
I carried my fear of the world
and it taught me I had been right.
I carried it and loved it
for making me right.
 
I carried my fear of the world
and it taught me how to carry it.
 
I carried my fear of the world
to my children and laid it down
at their feet, a kill, a gift.
Or I was laid at their feet.
",Maggie Smith,"Living,Life Choices,Relationships,Family & Ancestors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"
                    The First Woman
                ","
She was my Sunday school teacher
when I was just seven and eight.
He was the newly hired pastor,
 
an albino, alarming sight
with his transparent eyelashes
and mouse-pink skin that looked like it
 
might hurt whenever she caressed
his arm. Since Eva was her name,
to my child’s mind it made great sense
 
that she should fall in love with him.
He was Adán. Before the Fall
and afterward, her invert twin.
 
And she, Eva, was blonde as well,
though more robust, like Liv Ullmann.
I loved her honey hair, her full
 
lips; her green eyes a nameless sin.
(Not that I worried all that much—
the church was Presbyterian.)
 
In Sunday school, her way to teach
us kids to pray was to comment
on all the beauty we could touch
 
or see in our environment.
My hand was always in the air
to volunteer my sentiment.
 
Since other kids considered prayer
a chore, the floor was usually mine.
My list of joys left out her hair
 
but blessed the red hibiscus seen
through the windows while others bowed
their heads. Her heart I schemed to win
 
with purple prose on meringue clouds.
—For who was Adán, anyway,
I thought, but nada spelled backward?
 
While hers, reversed, called out, Ave! Ave! The lyric of a bird
born and airborne on the same day.
 
But it was night when I saw her
outside the church for the last time:
yellow light, mosquitoes, summer.
 
I shaped a barking dog, a fine
but disembodied pair of wings
with my hands. She spoke in hushed tones
 
to my parents. The next day I would find
myself up north, in a strange house,
without my tongue and almost blind,
 
there was so much to see. This caused
Cuba, my past, to be eclipsed
in time, but Eva stayed, a loss.
 Ave, I learned, meant also this:Farewell! I haven’t seen her since.
 
",Aleida Rodríguez,"Living,Coming of Age,Youth,Activities,School & Learning,Religion,Christianity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"
                    History
                ","



In art, politics, school, church, business, love
 or marriage—in a piece of work or in a career—
strongly spent is synonymous with kept. 
                                                              —Robert Frost



She taught me the names of flowers: calendula, ranunculus, Iceland
poppy. And the medicinal uses of herbs: Fenugreek opens up a
stuffy head; goldenseal lubricates the cracked mucous membranes.
Over a circa 1820 American dropleaf table, she told me asparagus
was the broom of the kidneys. I hadn't understood at first and
thought she'd used a German word I pictured as brüm and not as the
little stalks standing on their heads, sweeping out the impurities. I
learned to make the perfect roux for soufflé and became her
efficient assistant in the kitchen—dicing and chopping, she once
told me, with unparalleled patience. Then one day she began to
accidentally break my Depression glassware, and I recalled how
she'd giggled when she told me that in two years of marriage she
had single-handedly decimated her husband's glass collection
dating from 1790 to 1810, including a rare wedding goblet. In the
doorway to the back porch she stated simply that my presence
made her feel strangled, it was nothing I was doing or could do. We
saw a therapist for six years, while my collection dwindled then
became memory. With unparalleled patience I jumped through
hoop after burning hoop, the therapist pointed out, but I heard that
as praise for my prowess and continued to balance Bauer plates on
my nose on command; hold growling tigers off with Windsor dining
room chairs; juggle career, job, hope, and nightly tempests with
unparalleled dexterity. I could reassemble anything: shattered pictures
of us crossing the street with canes in the future, my hand under her
elbow. My heart. But what I lacked, I can see now, was the ability
to dissemble. Finally, she brought home a Cuisinart food processor,
and I started hearing the minutes slicing away with ferocious velocity,
time doing its soft-shoe faster and faster like Fred Astaire on
amphetamines. Memories of flowers and herbs were sacrificed to
the angry god of its vortex. Your voice is like acid on my skin, she
said after twelve years, then grabbed her Cuisinart and left me
behind like so much history.
",Aleida Rodríguez,"Living,Marriage & Companionship,Separation & Divorce,Love,Heartache & Loss,Realistic & Complicated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"
                    Little Cuba Stories/Cuentos de Cuba
","
V.
                                                  A.
There are no doors between the rooms. The archways bore
through the house like a tunnel through a mountain. The room
one falls into after my parents’ is the largest and serves as two
bedrooms divided by an invisible wall. Half of it is my brother’s
and the other half my sister and I share, but not at first.
 
Earlier, I have a bed to myself on the side of the room nearest the
kitchen. My bed is low and on one side a wooden rail can be
dragged up noisily and clicked into place.
 
          It is here my little goat wakes me, grabbing the covers off
          me with her teeth. We play in the empty pig shelter at the
          far end of the patio while my mother washes clothes in a
          palangana and throws the soapy water across the concrete,
          where it steams.
 
          But my father is a butcher by profession, and my family
          has other plans for my goat: a Sunday picnic at the zoo in
          Havana. The day is huge and blue and breezy. My sister
          teases me for not eating and says my goat is delicious. I
          stray away to watch the monkeys.
 
          I give one of the monkeys near the fence my banana. As it
          finishes peeling it meticulously, another monkey appears
          behind it and shoves the banana into its own mouth. The
          first monkey turns around, slaps it in the face with the
          empty peel, but that monkey isn’t sorry and starts jumping
          and screeching and showing its yellow teeth.
 
          For many years, those monkeys are all I can remember
          about the picnic at the zoo.
 
 
                                                  B.
Later, when my sister and I share a bed on the other side of the room,
I can see the tall narrow cabinet right inside my parents’ room. My
father always puts his hat on top of it as he walks in. And at night,
through the mosquito netting, it is a tall thin man wearing a straw
hat, lurking just outside the door, watching me in a sinister way. The
dead weight of my sister’s habitual leg thrown across my body is no
talisman. I have to keep waking myself up, sweaty and tense, to
make sure he hasn’t moved any closer.
 
",Aleida Rodríguez,"Living,Youth,Nature,Animals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"
                    The Invisible Body
                ","



Regla lesbia: Flexible rule that may be adjusted to any
body to be measured. Compare regla fija: standard. 
                                                    —The Velázquez Dictionary



I.
In the garden, it’s there. Even when you’re inside you feel it,
as though it were you standing naked among the weeds,
 
the tips of the bougainvillea bursting into flame, your nipples
ruffled like the skin of a lake by a breeze.
 
You worship the invisible body like an old-fashioned lover, from afar,
loving the specificity of space between you.
 
Sometimes at night it stretches out on the empty side
of the bed, stares at you with the length of its invisible surface.
 
Every contour of your body not filled by you is molded
by the attentiveness of the invisible body, whose breath surrounds
     you.
 
It’s more than prayer it wants—more than language, with its
     conditions.
The invisible body demands you invent new senses to receive it,
 
new places on your body to marvel at its subtlety,
like the eyes of the deaf percussionist that perceive sound.
 
II.
The invisible body wants you to become a satellite dish,
tuned to what exists only because your body calls to it.
 
Like the woman who had her kitchen remodeled to make room
for the microwave she’d entered a contest for. Then won.
 
III.
When asked whether falling in love was about acquisitiveness,
about the ego, the seventy-five-year-old poet
 
responded that the ego had nothing to do with it;
it was the need for union with the beloved.
 
Rumi asks, Who is it we spend our entire lives loving? 
 
IV.
How, then, do you measure the invisible body,
which resists commitment but is faithful?
 
Is it clear who the beloved is, when no clear
body exists that can be measured against a standard?
 
V.
The invisible body sometimes acquires a body—it’s so convincing,
it takes you a while to figure out it’s really the invisible body.
 
Like someone who has been reading your journal,
it has decoded from your petty, daily complaints the open sesame
 
that slides the stone from the hidden cave’s opening
and cleans you out while you sleep, leaving a sarcastic note.
 
It wants you to know it was doing you a favor, besides,
how else did you think you’d discover the cave’s precise location?
 
When Aphrodite sharpens you, you sacrifice a little of yourself,
willingly, as a knife does, so that you may become better at it.
 
VI.
This is the point at which the invisible body speaks
in italics, the Ouija board of poetry.
 In my mind, says the invisible body, that time capsule shuttlingthrough space, I hold, in all the languages of the world,
 your love, rushed like holographic platters to a table,steaming into the future long after you’ve ceased to shine,
 the silver faces of your beloved bobbing out of the darkness,the black velvet pillow of your life on which you offer them for view.
 
VII.
The invisible body is created out of your longing, your longing
compressing invisible molecules together into an absence you
     recognize.
 
That is the way one blind man sees the world—after the fact,
in photographs he took, once he had passed through it.

",William Shakespeare,"Living,Health & Illness,Love,Desire,Unrequited Love",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
